Time Series Search Export,Search term,Search filters,,Last update of Central bank policy rates data,Downloaded at,Source,Source URL,Download URL,About Central bank policy rates
,,Timespan,,2025-08-28,2025-08-29 23:07 CEST,BIS,"https://data.bis.org/topics/CBPOL/BIS,WS_CBPOL,1.0/M.XM?filter=TIMESPAN%3D2020-08-29_2025-08-29","https://data.bis.org/topics/CBPOL/BIS,WS_CBPOL,1.0/M.XM?filter=TIMESPAN%3D2020-08-29_2025-08-29&file_format=csv&format=long&split_frequencies=false&transposed=false&include=label",https://data.bis.org/topics/CBPOL

Dataflow ID,Timeseries Key,Frequency,Reference area,Unit,Unit multiplier,Period,Confidentiality,Pre-break value,Status,Value
"BIS,WS_CBPOL,1.0",M.XM,Monthly,Euro area,Per cent per year,Units,2020-09-30,Free,,Normal value,0.0
"BIS,WS_CBPOL,1.0",M.XM,Monthly,Euro area,Per cent per year,Units,2020-10-31,Free,,Normal value,0.0
"BIS,WS_CBPOL,1.0",M.XM,Monthly,Euro area,Per cent per year,Units,2020-11-30,Free,,Normal value,0.0
"BIS,WS_CBPOL,1.0",M.XM,Monthly,Euro area,Per cent per year,Units,2020-12-31,Free,,Normal value,0.0
"BIS,WS_CBPOL,1.0",M.XM,Monthly,Euro area,Per cent per year,Units,2021-01-31,Free,,Normal value,0.0
"BIS,WS_CBPOL,1.0",M.XM,Monthly,Euro area,Per cent per year,Units,2021-02-28,Free,,Normal value,0.0
"BIS,WS_CBPOL,1.0",M.XM,Monthly,Euro area,Per cent per year,Units,2021-03-31,Free,,Normal value,0.0
"BIS,WS_CBPOL,1.0",M.XM,Monthly,Euro area,Per cent per year,Units,2021-04-30,Free,,Normal value,0.0
"BIS,WS_CBPOL,1.0",M.XM,Monthly,Euro area,Per cent per year,Units,2021-05-31,Free,,Normal value,0.0
"BIS,WS_CBPOL,1.0",M.XM,Monthly,Euro area,Per cent per year,Units,2021-06-30,Free,,Normal value,0.0
"BIS,WS_CBPOL,1.0",M.XM,Monthly,Euro area,Per cent per year,Units,2021-07-31,Free,,Normal value,0.0
"BIS,WS_CBPOL,1.0",M.XM,Monthly,Euro area,Per cent per year,Units,2021-08-31,Free,,Normal value,0.0
"BIS,WS_CBPOL,1.0",M.XM,Monthly,Euro area,Per cent per year,Units,2021-09-30,Free,,Normal value,0.0
"BIS,WS_CBPOL,1.0",M.XM,Monthly,Euro area,Per cent per year,Units,2021-10-31,Free,,Normal value,0.0
"BIS,WS_CBPOL,1.0",M.XM,Monthly,Euro area,Per cent per year,Units,2021-11-30,Free,,Normal value,0.0
"BIS,WS_CBPOL,1.0",M.XM,Monthly,Euro area,Per cent per year,Units,2021-12-31,Free,,Normal value,0.0
"BIS,WS_CBPOL,1.0",M.XM,Monthly,Euro area,Per cent per year,Units,2022-01-31,Free,,Normal value,0.0
"BIS,WS_CBPOL,1.0",M.XM,Monthly,Euro area,Per cent per year,Units,2022-02-28,Free,,Normal value,0.0
"BIS,WS_CBPOL,1.0",M.XM,Monthly,Euro area,Per cent per year,Units,2022-03-31,Free,,Normal value,0.0
"BIS,WS_CBPOL,1.0",M.XM,Monthly,Euro area,Per cent per year,Units,2022-04-30,Free,,Normal value,0.0
